response_id,timepoint,sad,pos,rum,condition
R_1nTmv4wx1DJV1Y9,baseline,11,9,3,self
R_1nTmv4wx1DJV1Y9,postinduction,NA,5,3,self
R_1nTmv4wx1DJV1Y9,postlistening,12,5,3,self
R_1f2GmFHrWn18Mf1,baseline,13,8,3.75,sad
R_1f2GmFHrWn18Mf1,postinduction,21,6,3.75,sad
R_1f2GmFHrWn18Mf1,postlistening,13,6,3.75,sad
R_24I5LAy2yuV0prS,baseline,12,7,4,control
R_24I5LAy2yuV0prS,postinduction,18,5,4,control
R_24I5LAy2yuV0prS,postlistening,8,5,4,control
R_3sigyxC6JSfAZy5,baseline,10,7,4.333333333333333,sad
R_3sigyxC6JSfAZy5,postinduction,13,5,4.333333333333333,sad
R_3sigyxC6JSfAZy5,postlistening,9,5,4.333333333333333,sad
R_2Qoh16mCsbScq3K,baseline,9,12,3,self
R_2Qoh16mCsbScq3K,postinduction,14,6,3,self
R_2Qoh16mCsbScq3K,postlistening,12,5,3,self
R_2TuXRVver7KELAC,baseline,12,12,3.8333333333333335,self
R_2TuXRVver7KELAC,postinduction,16,7,3.8333333333333335,self
R_2TuXRVver7KELAC,postlistening,13,7,3.8333333333333335,self
R_28Tmgak2xE9TUTP,baseline,16,7,4,control
R_28Tmgak2xE9TUTP,postinduction,18,9,4,control
R_28Tmgak2xE9TUTP,postlistening,16,6,4,control
R_3hiKyrW6LwMdmSA,baseline,15,9,3.75,self
R_3hiKyrW6LwMdmSA,postinduction,12,7,3.75,self
R_3hiKyrW6LwMdmSA,postlistening,10,9,3.75,self
R_2Xjmdrxse2fH7Oq,baseline,13,17,3.8333333333333335,control
R_2Xjmdrxse2fH7Oq,postinduction,13,12,3.8333333333333335,control
R_2Xjmdrxse2fH7Oq,postlistening,8,5,3.8333333333333335,control
R_2qCRiQCR3LAj7wB,baseline,8,10,4.25,self
R_2qCRiQCR3LAj7wB,postinduction,19,5,4.25,self
R_2qCRiQCR3LAj7wB,postlistening,17,6,4.25,self
R_3QDeXuX4cnCHckI,baseline,9,10,4.25,sad
R_3QDeXuX4cnCHckI,postinduction,20,5,4.25,sad
R_3QDeXuX4cnCHckI,postlistening,11,5,4.25,sad
R_31z0KyLsxhMzHsh,baseline,10,11,3.75,sad
R_31z0KyLsxhMzHsh,postinduction,17,11,3.75,sad
R_31z0KyLsxhMzHsh,postlistening,10,8,3.75,sad
R_RetdsVoi3q2DSRX,baseline,9,20,3.25,control
R_RetdsVoi3q2DSRX,postinduction,20,9,3.25,control
R_RetdsVoi3q2DSRX,postlistening,8,5,3.25,control
