ID,song_artist,valence,energy,artist_rtn,song_rtn
260,Ashes to Ashes - 2017 Remaster_David Bowie,0.866,0.743,David Bowie,Ashes to Ashes - 2017 Remaster
261,Human_The Killers,0.582,0.8,The Killers,Human
262,I'll Never Love Again - Film Version_Lady Gaga,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
265,I'll See You Again_Westlife,0.0674,0.348,Westlife,I'll See You Again
266,Fix You_Coldplay,0.123,0.418,Coldplay,Fix You
268,"John Wayne Gacy, Jr._Sufjan Stevens",0.183,0.179,Sufjan Stevens,"John Wayne Gacy, Jr."
269,Breathe Me_Sia,0.19,0.621,Sia,Breathe Me
270,True Love Waits_Radiohead,0.0379,0.132,Radiohead,True Love Waits
271,Somewhere Only We Know_Lily Allen,0.278,0.286,Lily Allen,Somewhere Only We Know
273,Somewhere Over The Rainbow_What A Wonderful World_Israel Kamakawiwo'ole,0.678,0.168,Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World
274,"Read All About It, Pt. III_Emeli Sandé",0.337,0.44,Emeli Sandé,"Read All About It, Pt. III"
275,Crosses_José González,0.317,0.372,José González,Crosses
276,Floating in the Forth_Frightened Rabbit,0.178,0.665,Frightened Rabbit,Floating in the Forth
278,Dancing On My Own_Calum Scott,0.236,0.173,Calum Scott,Dancing On My Own
279,Bruises_Lewis Capaldi,0.361,0.308,Lewis Capaldi,Bruises
280,My Immortal_Amy Lee,0.0783,0.282,Amy Lee,My Immortal
281,A Change Of Heart_The 1975,0.528,0.51,The 1975,A Change Of Heart
282,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version_Phil Collins",0.655,0.744,Phil Collins,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version"
283,Into Dust_Mazzy Star,0.122,0.132,Mazzy Star,Into Dust
284,Concrete Angel_Martina McBride,0.274,0.392,Martina McBride,Concrete Angel
285,Lost Without You_Freya Ridings,0.0976,0.136,Freya Ridings,Lost Without You
286,Angels_Robbie Williams,0.252,0.586,Robbie Williams,Angels
288,Don't Go Away - Remastered_Oasis,0.178,0.831,Oasis,Don't Go Away - Remastered
290,Don't Look Back In Anger - Remastered_Oasis,0.335,0.922,Oasis,Don't Look Back In Anger - Remastered
291,Seigfried_Frank Ocean,0.37,0.255,Frank Ocean,Seigfried
293,Maybe_Yiruma,0.223,0.226,Yiruma,Maybe
294,Let Her Go_Passenger,0.244,0.545,Passenger,Let Her Go
295,All I Want_Kodaline,0.162,0.412,Kodaline,All I Want
