song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
Nobody's Home_Avril Lavigne,66,13,2,17,0,3269017.3725,59874.1417,Negative,161,0.177,0.907,Avril Lavigne,Nobody's Home
Everybody Hurts_R.E.M.,1,0,0,0,0.3679,1,1,Equal,162,0.166,0.324,R.E.M.,Everybody Hurts
Another Love_Tom Odell,87,8,28,10,0,0,0,Positive,163,0.131,0.537,Tom Odell,Another Love
Low Roar_Low Roar,14,0,0,0,0,1,1,Equal,164,0.0381,0.15,Low Roar,Low Roar
The Worst_Jhené Aiko,78,3,15,9,0,0.0025,0,Positive,165,0.123,0.414,Jhené Aiko,The Worst
Iris_The Goo Goo Dolls,2,0,0,0,0.1353,1,1,Equal,166,0.497,0.715,The Goo Goo Dolls,Iris
All By Myself_Eric Carmen,33,1,6,2,0,0.0183,0.0067,Positive,167,0.111,0.373,Eric Carmen,All By Myself
Photographs (with Rag'n'Bone Man)_Professor Green,1,0,0,0,0.3679,1,1,Equal,168,0.478,0.76,Professor Green,Photographs (with Rag'n'Bone Man)
All Too Well_Taylor Swift,117,7,7,12,0,148.4132,1,Negative,169,0.337,0.609,Taylor Swift,All Too Well
Albinoni: Adagio in G Minor (Excerpt)_Tomaso Albinoni,1,0,0,0,0.3679,1,1,Equal,170,0.0376,0.0971,Tomaso Albinoni,Albinoni: Adagio in G Minor (Excerpt)
Give Me Love_Ed Sheeran,130,0,57,2,0,0,0,Positive,171,0.11,0.328,Ed Sheeran,Give Me Love
The Book Of Love - Single Version_Gavin James,1,0,0,0,0.3679,1,1,Equal,172,0.224,0.308,Gavin James,The Book Of Love - Single Version
Sail Away_David Gray,62,3,11,6,0,0.0067,3e-4,Positive,173,0.188,0.568,David Gray,Sail Away
Apologize_OneRepublic,212,104,36,80,0,12851600114359308e3,3404276049931741e14,Negative,174,0.502,0.74,OneRepublic,Apologize
What A Wonderful World_Eva Cassidy,48,1,16,3,0,0,0,Positive,175,0.0941,0.128,Eva Cassidy,What A Wonderful World
Dance With My Father - Radio Version_Luther Vandross,1,0,0,0,0.3679,1,1,Equal,176,0.231,0.341,Luther Vandross,Dance With My Father - Radio Version
Everyday Is Like Sunday - 2011 Remaster_Morrissey,1,0,0,0,0.3679,1,1,Equal,177,0.56,0.869,Morrissey,Everyday Is Like Sunday - 2011 Remaster
When I'm Gone_Eminem,306,22,43,33,0,0,0,Positive,178,0.757,0.746,Eminem,When I'm Gone
Run_Snow Patrol,224,8,32,16,0,0,0,Positive,179,0.197,0.64,Snow Patrol,Run
Lost Without You_Freya Ridings,1200,300,150,300,0,13937095806663797e49,13937095806663797e49,Negative,180,0.0976,0.136,Freya Ridings,Lost Without You
Chasing Pavements_Adele,48,4,3,10,0,1096.6332,2.7183,Negative,181,0.325,0.473,Adele,Chasing Pavements
"Any Other Name (From ""American Beauty"")_Thomas Newman",1,0,0,0,0.3679,1,1,Equal,182,0.0378,0.0137,Thomas Newman,"Any Other Name (From ""American Beauty"")"
She Will Be Loved - Radio Mix_Maroon 5,684,20,40,24,0,0,0,Positive,183,0.465,0.663,Maroon 5,She Will Be Loved - Radio Mix
Fast Car_Tracy Chapman,141,13,20,15,0,0.0067,9e-4,Positive,184,0.194,0.292,Tracy Chapman,Fast Car
Supermarket Flowers_Ed Sheeran,3240,216,540,324,0,0,0,Positive,185,0.257,0.242,Ed Sheeran,Supermarket Flowers
Should I Stay or Should I Go - Remastered_The Clash,1,0,0,0,0.3679,1,1,Equal,186,0.816,0.833,The Clash,Should I Stay or Should I Go - Remastered
