id,Age,Gender,Sample,Condition,SelfSelected_Song1,SelfSelected_Song2,track_popularity,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,energy,tempo,key,danceability,MusicInfo4_1,Rumination,Timepoint,Sadness
7,22,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,Post_induction,12
8,22,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.833333333333333,Post_induction,2
9,18,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,Post_induction,4
10,20,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,Post_induction,6
11,18,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1666666666666665,Post_induction,5
12,19,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,Post_induction,9
13,19,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.166666666666667,Post_induction,10
14,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Post_induction,12
15,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,Post_induction,2
16,24,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,Post_induction,2
17,21,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.416666666666667,Post_induction,26
18,19,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8333333333333335,Post_induction,10
19,23,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8333333333333335,Post_induction,4
20,25,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,Post_induction,3
21,25,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,Post_induction,5
22,21,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3333333333333335,Post_induction,6
23,19,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,Post_induction,3
24,22,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.083333333333333,Post_induction,25
25,22,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9166666666666665,Post_induction,8
26,21,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8333333333333335,Post_induction,5
27,18,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Post_induction,4
28,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Post_induction,1
29,20,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,Post_induction,4
30,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.083333333333333,Post_induction,18
31,21,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Post_induction,15
32,20,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Post_induction,10
33,21,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,Post_induction,5
34,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,Post_induction,3
35,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,Post_induction,8
36,21,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,Post_induction,9
37,22,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,Post_induction,5
38,22,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Post_induction,4
39,23,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5833333333333335,Post_induction,14
40,18,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Post_induction,11
